student_id,听课质量评级,是否隐性逃课
pjxsqxbj976,游离,否
pjxyqwbk575,一般,否
pjxyqwbj487,一般,否
pjxyqxbj121,一般,否
pjwtqxbj920,游离,否
pjxyqxbk613,一般,否
pjxyqwbk521,游离,否
pjxyqwbj925,游离,是
pjxuqwbj918,游离,否
pjxyqwbj379,一般,否
pjxyqwbj016,游离,否
pjxyqxbk370,一般,否
pjxyqxbk452,游离,否
pjxyqxbk934,一般,否
pjxpqxbj954,沉浸,否
pjxyqwbk666,游离,是
pjxxxxbj981,游离,是
pjxyqwbk808,游离,否
pjxyqwbj897,一般,否
pjxyqwbk735,一般,否
pjwrqxbj973,一般,否
pjxvztfj994,一般,否
pjxyqwbj288,一般,否
pjxuqwbj967,沉浸,否
pjxyqxbj301,一般,否
pjxuqwbj647,游离,否
pjxuqwbj953,游离,否
pjxyqwbk727,游离,是
pjxyqxbj174,游离,否
pjxyqxbk481,一般,否
pjxuqwbj634,游离,是
pjxyqwbk925,游离,是
pjxyqxbk065,一般,否
pjxyqxbk411,一般,否
pjxyqwbj485,一般,否
pjxyqwbj869,游离,否
pjxuqwbj622,游离,否
pjxyqwbj367,一般,否
pjxyqwbj312,一般,否
pjxyqxbk905,游离,否
pjxyqwbj251,游离,是
pjxyqwbj611,一般,否
pjxyqxbl804,一般,否
pjxyqxbk743,一般,否
pjxyqwbk872,游离,是
pjxyqwbj041,游离,否
pjxyqxbl780,一般,否
pjxyqxbk336,一般,否
pjxpqxbj926,沉浸,否
pjxuqwbj871,游离,是
pjxyqxbk287,一般,否
pjxyqxbk827,一般,否
pjxyqxbl810,一般,否
pjxyqxbj237,一般,否
pjxyqxbl957,一般,否
pjxyqxbk239,一般,否
pjxuqwbj840,一般,否
pjxuqwbj621,游离,是
pjxyqwbj842,一般,否
pjxyqwbk624,游离,是
pjxuqwbj564,游离,是
pjxuqwbj525,游离,是
pjxyqwbk721,一般,否
pjxyqxbk811,一般,否
pjxuqwbj633,游离,是
pjxsqxbj981,游离,是
pjxqqxbj985,沉浸,否
pjxyqxbk415,游离,是
pjxuzvbj996,一般,否
pjxyqxbk067,一般,否
pjwtqxbj946,游离,否
pjxyqwbj802,一般,否
pjxuqwbj915,游离,否
pjxyqxbj703,一般,否
pjxyqxbk861,一般,否
pjxsqxbj834,游离,是
pjxsqxbj826,游离,是
pjxyqxbj280,一般,否
pjxwzxbj987,一般,否
pjxwzxfj981,一般,否
pjxyqxbj433,游离,否
pjxuqwbj956,游离,否
pjxqzxbj971,游离,否
pjxyqwbj224,一般,否
pjxyqxbj327,游离,是
pjxuqwbj488,游离,否
pjwrqxbj988,游离,否
pjxyqxbk929,游离,否
pjxyqxbk257,游离,是
pjxyqwbk605,一般,否
pjxyqxbk444,一般,否
pjxyqwbj255,游离,是
pjxyqxbk220,一般,否
pjxyqwbj059,一般,否
pjxyqxbj464,一般,否
pjxyqxbk546,一般,否
pjxyqxbk649,一般,否
pjxyqxbl918,一般,否
pjxxzxkj997,游离,否
pjxyqxbj439,一般,否
pjxyqxbl808,一般,否
pjwtqxbj941,游离,否
pjxyqxbk242,一般,否
pjxyqxbk915,游离,是
pjxyqwbj388,一般,否
pjxyqwbj181,一般,否
pjxyqxbk530,一般,否
pjxyqxbj296,游离,是
pjxyqxbj813,游离,是
pjxyqxbj658,一般,否
pjxvzxfj972,一般,否
pjxyqxbk364,游离,是
pjxyqwbj188,一般,否
pjxuqwbj829,游离,否
pjxyqxbl727,一般,否
pjxyqwbj468,一般,否
pjxyqxbj580,一般,否
pjxtztbj996,游离,是
pjxyqxbj230,一般,否
pjxsqxbj844,游离,否
pjxuqwbj916,游离,否
pjxyqxbk951,一般,否
pjxyqwbk504,一般,否
pjxyqwbj985,游离,否
pjxyqxbk746,游离,否
pjxuqwbj857,游离,否
pjxyqxbk798,一般,否
pjxyqxbk995,游离,是
pjxyqxbk737,一般,否
pjxqqxbj970,游离,否
pjxyqxbj271,游离,否
pjxyqwbj605,一般,否
pjxyqxbk454,游离,是
pjxyqxbj018,游离,否
pjxyqwbj139,游离,否
pjxsqxbj985,沉浸,否
pjxsqxbj927,游离,否
pjxrqxbj918,游离,是
pjxyqwbj049,游离,否
pjxyqxbk446,一般,否
pjxyqxbk765,一般,否
pjxyqwbk523,游离,否
pjxyqxbj404,一般,否
pjwtqxbj982,游离,否
pjxyqxbk328,一般,否
pjxyqxbk865,一般,否
pjxuqwbj701,游离,否
pjxyqwbj252,游离,否
pjxuqwbj925,游离,否
pjxuqwbj470,游离,否
pjxyqwbj267,一般,否
pjxuqwbj496,游离,否
pjxyqxbk705,一般,否
pjxyqxbk825,游离,是
pjxyqxbj469,一般,否
pjxyqwbk749,游离,是
pjxyqwbk701,游离,否
pjxyqwbj262,一般,否
pjwrqxbj926,游离,是
pjxwzxkj992,一般,否
pjxyqxbk625,一般,否
pjxyqxbk706,一般,否
pjxuqwbj472,游离,否
pjxyqwbj478,沉浸,否
pjxuqwbj463,游离,是
pjxyqxbj114,一般,否
pjxyqxbk228,一般,否
